Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2070,Non Strata,3200,3685,4320,3777,-,-7.87%,14.62%,-44.44%,-39.39%,2022,Q1
2070,Strata,990,1150,1350,1246,-,8.49%,-14.81%,5.00%,-38.24%,2022,Q1
2071,Total,1111,1911,3550,2725,38,-32.62%,-33.20%,-54.76%,-44.93%,2022,Q1
2071,Non Strata,3259,3734,5408,4424,-,-8.24%,3.59%,-63.27%,-52.63%,2022,Q1
2071,Strata,841,1131,1463,1196,-,-4.15%,15.41%,-42.86%,-35.48%,2022,Q1
2072,Total,745,1045,2588,1586,46,-2.79%,-25.36%,-2.13%,2.22%,2022,Q1
2072,Non Strata,2800,2880,3298,3115,-,-14.03%,-11.45%,85.71%,-27.78%,2022,Q1
2072,Strata,675,930,1100,984,33,-5.82%,0.00%,-17.50%,22.22%,2022,Q1
2073,Total,1150,2550,3717,2557,67,5.81%,8.23%,-30.93%,-2.90%,2022,Q1
2073,Non Strata,2961,3645,4330,3785,36,15.15%,39.11%,-40.00%,-29.41%,2022,Q1
2073,Strata,878,1088,1333,1132,31,-0.0286,0.1762,-0.1622,0.7222,2022,Q1
2074,Total,1566,2400,3250,2482,71,-10.28%,0.00%,-36.61%,-30.39%,2022,Q1
2074,Non Strata,2468,2938,3615,3162,46,-2.89%,0.43%,-41.03%,-38.67%,2022,Q1
2074,Strata,810,1111,1626,1232,-,11.77%,5.01%,-26.47%,-7.41%,2022,Q1
2075,Total,1355,2650,3275,2431,87,-1.85%,17.78%,-24.35%,-17.14%,2022,Q1
2075,Non Strata,2740,3050,3613,3119,55,-3.48%,22.00%,-23.61%,-17.91%,2022,Q1
2075,Strata,911,1000,1463,1248,32,-0.99%,6.95%,-25.58%,-15.79%,2022,Q1
2076,Total,1375,2100,3201,2429,75,-6.81%,12.00%,-47.18%,-24.24%,2022,Q1
2076,Non Strata,2058,2600,3545,2953,55,4.00%,23.56%,-49.54%,-31.25%,2022,Q1
2076,Strata,834,925,1170,987,-,-5.62%,2.78%,-39.39%,5.26%,2022,Q1
2077,Total,660,725,1018,977,189,-8.23%,-0.41%,-18.88%,-12.90%,2022,Q1
2077,Non Strata,1635,1850,2100,1869,45,1.65%,25.00%,-43.04%,-18.18%,2022,Q1
2077,Strata,650,690,749,698,144,-2.60%,0.72%,-6.49%,-11.11%,2022,Q1
2079,Total,1540,1655,1875,1583,-,6.43%,72.76%,-41.67%,-56.25%,2022,Q1
2079,Non Strata,1584,1692,1901,1714,-,-2.39%,30.12%,-30.77%,-14.29%,2022,Q1
2079,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2081,Total,1600,1685,1784,1718,-,16.01%,39.95%,-10.00%,-5.26%,2022,Q1
2081,Non Strata,1600,1685,1784,1718,-,16.01%,38.74%,-10.00%,0.00%,2022,Q1
2082,Total,-,-,-,-,-,-,-,-,-,2022,Q1
2082,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2083,Total,884,1200,1681,1297,-,0,0.0323,-0.1429,2,2022,Q1
2083,Non Strata,884,1200,1681,1297,-,0,0.0323,-0.1429,2,2022,Q1
2084,Total,-,-,-,-,-,-,-,-,-,2022,Q1
2084,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2085,Total,2158,2393,2708,2297,32,-5.47%,28.70%,-36.00%,-28.89%,2022,Q1
2085,Non Strata,2204,2492,2731,2540,-,-5.96%,30.13%,-24.32%,-26.32%,2022,Q1
2085,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2086,Total,2081,2245,2353,2284,36,-6.17%,16.38%,-25.00%,-25.00%,2022,Q1
2086,Non Strata,2081,2245,2353,2284,36,-7.52%,16.38%,-21.74%,-25.00%,2022,Q1
2087,Total,2100,2378,2650,2382,36,-5.93%,9.18%,-14.29%,20.00%,2022,Q1
2087,Non Strata,2239,2450,2733,2559,31,-5.77%,11.36%,-18.42%,19.23%,2022,Q1
2087,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2088,Total,1050,1775,4208,3014,127,-34.26%,-19.32%,-34.87%,-21.12%,2022,Q1
2088,Non Strata,4005,4900,6925,5765,47,-17.09%,3.16%,-30.88%,-34.72%,2022,Q1
2088,Strata,926,1200,1750,1398,80,-26.38%,7.14%,-37.01%,-10.11%,2022,Q1
2089,Total,871,1280,2033,1548,54,-1.54%,6.67%,-39.33%,-34.94%,2022,Q1
2089,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2089,Strata,839,1150,1650,1266,46,1.10%,9.52%,-39.47%,-36.11%,2022,Q1
2090,Total,1047,1423,2041,1727,86,-10.95%,-4.85%,-10.42%,2.38%,2022,Q1
2090,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2090,Strata,980,1300,1822,1436,77,-14.33%,0.78%,-6.10%,22.22%,2022,Q1
2092,Total,2863,3263,4065,3562,-,-14.14%,1.95%,-4.35%,-24.14%,2022,Q1
2092,Non Strata,2945,3453,4175,3725,-,-10.56%,7.05%,-4.76%,-28.57%,2022,Q1
2092,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2093,Total,1093,2875,4163,2733,64,12.41%,39.83%,-47.54%,-53.62%,2022,Q1
2093,Non Strata,3100,3920,4700,3958,37,2.15%,32.21%,-40.32%,-43.94%,2022,Q1
2093,Strata,857,950,1218,1053,-,-20.00%,-5.48%,-55.00%,-62.50%,2022,Q1
2094,Total,1400,1663,2670,2292,-,-7.89%,4.56%,-60.00%,-25.00%,2022,Q1
2094,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2094,Strata,1358,1600,2139,1852,-,0.00%,11.11%,-54.55%,-16.67%,2022,Q1
2095,Total,1426,2085,3370,2608,84,-16.60%,15.83%,-30.58%,-22.94%,2022,Q1
2095,Non Strata,4500,4617,4825,4899,-,0.0614,0.1689,-0.2778,0.1818,2022,Q1
2095,Strata,1313,1825,2738,2189,71,-13.10%,9.61%,-31.07%,-27.55%,2022,Q1
2096,Total,1101,1413,3494,2239,62,-15.67%,4.24%,-25.30%,-19.48%,2022,Q1
2096,Non Strata,3678,4088,4709,4473,-,5.48%,19.60%,-37.93%,-10.00%,2022,Q1
2096,Strata,1043,1235,1448,1325,44,-12.10%,7.39%,-18.52%,-22.81%,2022,Q1
2097,Total,1325,2337,2900,2162,41,-5.96%,29.83%,-36.92%,-33.87%,2022,Q1
2097,Non Strata,2625,2867,3065,2881,-,4.24%,13.31%,-48.89%,-23.33%,2022,Q1
2097,Strata,1058,1225,1436,1243,-,1.37%,25.64%,-10.00%,-43.75%,2022,Q1
2099,Total,900,1153,2240,1587,170,-8.46%,9.24%,-33.07%,-3.41%,2022,Q1
2099,Non Strata,2343,2640,3163,2793,51,7.24%,16.17%,-29.17%,-12.07%,2022,Q1
